"행정구역별(시군구)","성별",2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"강북구","여자",19797,18760,10055,3489,505,4334,377,1037,21273,20153,10595,3775,550,4787,446,1120,22364,21162,10814,4033,570,5298,447,1202,23274,22073,10960,4473,569,5620,451,1201,24727,23485,11423,4589,631,6406,436,1242
"도봉구","계",28296,26423,11819,8625,618,4838,523,1873,29469,27144,11849,8970,589,5180,556,2325,30848,28410,11765,9737,626,5745,537,2438,32653,29897,12137,10374,654,6131,601,2756,34884,31875,12497,11176,700,6967,535,3009
"도봉구","남자",12607,11543,5938,2956,268,2092,289,1064,13093,11734,5907,3068,243,2214,302,1359,13586,12120,5881,3302,250,2408,279,1466,14396,12804,6185,3473,254,2558,334,1592,15438,13708,6392,3775,280,2966,295,1730
"도봉구","여자",15689,14880,5881,5669,350,2746,234,809,16376,15410,5942,5902,346,2966,254,966,17262,16290,5884,6435,376,3337,258,972,18257,17093,5952,6901,400,3573,267,1164,19446,18167,6105,7401,420,4001,240,1279
"노원구","계",47641,45517,11681,28519,547,3879,891,2124,49265,46970,11737,29566,640,4164,863,2295,51280,48843,11789,31115,639,4429,871,2437,53365,50960,11610,33073,701,4632,944,2405,56438,53902,11293,35828,771,5127,883,2536
"노원구","남자",20427,19109,6227,10157,261,1930,534,1318,20740,19298,6127,10388,291,1992,500,1442,21674,20170,6159,11058,276,2148,529,1504,22556,20977,6192,11699,301,2221,564,1579,23701,22097,5846,12899,353,2492,507,1604
"노원구","여자",27214,26408,5454,18362,286,1949,357,806,28525,27672,5610,19178,349,2172,363,853,29606,28673,5630,20057,363,2281,342,933,30809,29983,5418,21374,400,2411,380,826,32737,31805,5447,22929,418,2635,376,932
"은평구","계",44440,39564,17709,6507,821,13535,992,4876,46535,40615,17315,6987,851,14439,1023,5920,48888,42370,17252,7428,907,15721,1062,6518,52814,45351,17926,8711,907,16770,1037,7463,57853,49596,19034,9637,1013,18922,990,8257
"은평구","남자",19908,17469,8291,2506,313,5829,530,2439,20727,17793,8130,2703,299,6110,551,2934,21694,18568,8202,2836,337,6631,562,3126,23209,19793,8560,3320,340,7017,556,3416,25221,21487,9112,3617,385,7849,524,3734
"은평구","여자",24532,22095,9418,4001,508,7706,462,2437,25808,22822,9185,4284,552,8329,472,2986,27194,23802,9050,4592,570,9090,500,3392,29605,25558,9366,5391,567,9753,481,4047,32632,28109,9922,6020,628,11073,466,4523
